"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","TikTok","Facebook","Google_Ads","cluster","top_sol"
"47","2_71_3",0,0.00174199087155787,0.894197898757989,1.08078434165332,0.142017065913667,0.14751927770252,0.154604982405908,0.165864693928161,4,FALSE
"48","2_72_15",0,0.047121456981628,0.346090119731679,0.591270319613809,0.0654691907891097,0.00245472825003788,0.00950525983531039,0.00406937588874641,10,FALSE
"49","2_72_21",0,0.0405082996470517,0.374132991264481,0.61172917960803,0.0687428317415928,0.00438634128513784,0.0131577690812416,0.00830423969119846,10,FALSE
"50","2_77_16",0,0.0519069518131507,0.33953341382037,0.583676493398042,0.0672456870002389,0.0157731935680805,0.020273000160401,0.0124534702013513,2,FALSE
"51","2_77_7",0,0.012324941046493,0.67690774449746,0.875897471736098,0.121392694289623,0.0955479827291302,0.0997033570146254,0.104034316457565,7,FALSE
"52","2_78_23",0,0.0611933201028721,0.323406675454851,0.559864952403063,0.0647557723536588,0.0159485562567013,0.0303107727460096,0.0115797090790413,2,FALSE
"53","2_79_10",0,0.0402485294122865,0.39234835401446,0.599538767879548,0.0668818588025383,0.00387916005659471,0.00651057155365131,0.00777952064389657,10,FALSE
"54","2_79_3",0,0.0241676985389528,0.525579912182902,0.728177924039151,0.0892628592692818,0.0266617827359744,0.0344062334377918,0.0339719277720798,1,FALSE
"55","2_80_17",0,0.0403107530031418,0.387288736113148,0.591298456294308,0.0660965181400997,0.00395966302301667,0.00911524104120879,0.00759016157986052,10,FALSE
"56","2_80_8",0,0.0938656503331788,0.253848915556466,0.499825315011089,0.0551607642906127,0.0204836286907714,0.0235992470350254,0.00113198314648422,8,FALSE
"57","2_81_10",0,0.0269605078373655,0.482320660052163,0.720756312726837,0.0905945364113051,0.0313453034632993,0.0303501771569173,0.0396964692399245,1,FALSE
"58","2_81_3",0,0.0505117106762032,0.332559401913722,0.621245950095975,0.0702037736248573,0.00758215488925429,0.0228347661380182,0.00949611452305296,8,FALSE
"59","2_82_17",0,0.0196004857516093,0.48036824755672,0.721519530067881,0.0912826282642304,0.0320854428655079,0.0341312448858243,0.0432350112818903,1,FALSE
"60","2_82_3",0,0.0381942994883846,0.402782637965524,0.606367207568148,0.0688703412908096,0.0164165717431326,0.0291302499203809,0.0203934856474138,2,FALSE
"61","2_82_4",0,0.0379185527874204,0.35196405334136,0.613298748561268,0.0699753715034703,0.000361375941464788,0.0111000760974485,0.00646897084205032,10,FALSE
"62","2_83_10",0,0.03053526761841,0.422394607007484,0.630190614669738,0.0717600174120621,0.0162768413204007,0.0212446184182029,0.021911969040973,2,FALSE
